9903	7288	-4474
9690	4806	-4183
9220	2164	-3654
8618	-218	-3162
7858	-1974	-2996
6960	-3331	-2946
6027	-4682	-2626
5276	-5942	-2120
4811	-6725	-1705
4481	-6831	-1415
4227	-6372	-1184
4097	-5680	-1060
4116	-4958	-1038
4415	-3813	-984
5170	-1665	-892
6251	1421	-705
7472	5372	-165
9448	9931	365
11186	13741	737
11163	15975	1062
10373	16588	793
9293	16352	297
7423	15855	347
5016	14885	529
2603	13325	449
469	11244	291
-1406	9280	150
-3161	7835	103
-4884	6826	211
-6558	5984	471
-8037	5144	777
-9076	4352	979
-9549	3681	1055
-9575	3134	998
-9575	2739	809
-8551	2477	586
-7643	2326	433
-7646	2326	382
-6484	2389	424
-5435	3094	494
-4286	4118	512
-3070	5449	433
